Date,Product,Quantity,Price,Region
2022-03-31,Laptop,10,398.04165983468397,South
2022-06-13,Tablet,9,118.84658587063747,South
2022-10-06,Smartphone,8,484.39653461608407,West
2022-03-04,Smartphone,10,765.3145196712451,West
2022-12-02,Laptop,9,815.3301387959197,East
2022-09-28,Headphones,9,109.0736489034144,North
2023-07-20,Tablet,2,486.0973009855433,West
2023-04-22,Headphones,7,870.5035867420247,North
2022-01-12,Laptop,2,251.6384435142918,South
2023-07-16,Smartwatch,8,593.6546726605272,North
2022-02-05,Tablet,8,310.92220828797963,West
2022-05-07,Headphones,3,555.34382464255,North
2023-02-24,Smartphone,7,137.70037420722298,East
2023-10-07,Smartwatch,2,962.8644095480308,Central
2022-10-23,Smartwatch,5,718.497471645311,Central
2022-06-18,Tablet,10,383.3085779788429,Central
2023-12-26,Laptop,2,356.4300531425953,South
2022-09-04,Laptop,6,954.5026925244906,South
2022-07-03,Laptop,1,418.34535135496884,East
2023-02-18,Smartwatch,4,722.478154601798,North
2022-08-31,Tablet,3,692.9631461450934,South
2023-08-26,Laptop,5,782.264784808504,North
2023-02-02,Laptop,9,641.4584152461692,East
2022-05-14,Smartphone,6,667.4013224013335,West
2022-10-09,Tablet,1,888.2964986155308,North
2022-07-25,Smartphone,7,759.27263223077,North
2022-08-28,Smartphone,6,200.60021129898627,East
2023-10-17,Smartwatch,9,726.4558070592333,West
2023-02-08,Headphones,10,799.1225398647534,West
2023-03-22,Laptop,2,149.92161640562853,North
2022-07-03,Tablet,3,157.7843092715773,Central
2022-03-23,Smartphone,8,879.4684344783024,West
2023-05-25,Laptop,2,129.07835256513084,West
2023-09-02,Smartphone,7,617.0463767808963,West
2023-08-10,Smartphone,2,535.0439965222572,East
2023-09-06,Laptop,10,691.7016479942283,East
2022-09-24,Smartphone,7,718.244703401075,North
2022-03-21,Smartwatch,1,553.0464511724715,East
2023-08-10,Tablet,2,866.829432230664,West
2023-03-31,Smartphone,2,558.346303472648,North
2023-03-24,Smartphone,9,720.9239270931508,North
2023-10-30,Headphones,9,605.3479845914014,East
2022-02-24,Smartphone,6,208.32653161077815,South
2022-04-17,Smartphone,7,833.2718101273036,West
2023-07-24,Smartwatch,9,908.379568249775,East
2022-11-02,Laptop,3,413.5135662588157,West
2022-01-11,Smartphone,4,200.7376001257149,East
2023-05-27,Smartphone,10,391.11898713918987,South
2022-09-16,Headphones,8,647.7060517236243,South
2022-10-17,Headphones,2,404.8573176798411,Central
2023-05-04,Tablet,10,750.8424603688819,South
2023-08-09,Smartwatch,10,521.3760429434882,South
2022-06-08,Tablet,2,320.33938756995076,North
2023-08-26,Headphones,2,223.9755798288341,East
2023-01-02,Headphones,1,673.6768568417407,West
2023-03-27,Tablet,5,638.9934701551697,South
2022-06-05,Headphones,4,219.01643118426472,South
2022-01-08,Smartphone,2,980.9949537735332,East
2023-12-10,Headphones,2,126.29398239831089,South
2023-01-28,Smartwatch,5,964.6491311339827,East
2022-05-30,Laptop,2,654.6390482384883,East
2023-02-02,Tablet,8,572.5921671665978,Central
2022-07-11,Headphones,1,526.9947755585094,North
2022-03-20,Laptop,8,829.4245651155746,North
2022-06-25,Tablet,4,713.0351804729204,Central
2023-07-23,Laptop,6,704.891950937534,West
2022-04-09,Smartwatch,9,362.9031796694889,East
2023-03-21,Smartwatch,5,313.43495904902875,Central
2022-10-28,Smartphone,6,863.6169088425168,South
2023-12-15,Smartwatch,6,884.5828072008292,West
2022-12-26,Headphones,1,781.6768949177623,Central
2023-05-08,Laptop,8,488.20464455683083,West
2022-11-25,Smartphone,9,505.7401438829552,North
2022-03-06,Smartwatch,7,515.872425263353,West
2023-07-13,Tablet,8,680.9646993762861,East
2022-02-17,Tablet,9,666.7122641605191,North
2023-11-08,Headphones,3,975.7516825298547,North
2022-07-27,Laptop,6,371.1678602062614,South
2023-05-30,Headphones,5,499.47423210752044,West
2023-01-28,Headphones,5,365.150121106332,Central
2022-08-14,Smartwatch,10,657.3116758738005,West
2022-01-29,Smartphone,3,629.8567943443734,East
2023-09-06,Smartphone,10,344.3673837740064,North
2022-08-14,Smartphone,3,831.9793844629421,Central
2022-03-19,Headphones,10,823.9499511464987,East
2022-08-08,Tablet,6,924.5562370228965,East
2022-08-20,Smartwatch,6,824.2795464394414,South
2023-07-12,Headphones,7,840.6494955703747,South
2022-04-01,Smartphone,8,748.8446777035997,South
2023-12-18,Laptop,6,538.8882481003136,South
2022-03-19,Smartwatch,1,768.5208995340221,East
2022-04-30,Smartphone,7,585.4262708683137,South
2022-12-23,Headphones,5,996.5491219162102,North
2022-09-20,Smartwatch,2,722.3534753073877,North
2023-02-03,Headphones,7,931.242585231881,North
2022-02-02,Smartphone,2,806.6539041474513,South
2023-08-31,Laptop,4,683.0398898296552,West
2023-10-10,Headphones,4,826.5970016842983,West
2022-12-23,Tablet,1,454.72828846830697,East
2022-05-21,Tablet,6,574.6279962622098,West
2022-07-16,Headphones,9,648.9638357212527,South
2022-06-29,Tablet,1,751.9439073211636,East
2022-07-14,Smartwatch,4,233.90754957028952,South
2023-09-21,Smartwatch,9,630.4811774555724,Central
2023-08-02,Headphones,7,902.4129541828381,South
2023-12-12,Smartwatch,5,312.40878508534007,East
2023-09-05,Laptop,4,853.7298113969889,North
2022-10-13,Smartwatch,9,982.484517528155,East
2022-03-09,Laptop,8,215.7243467875586,East
2023-09-26,Smartwatch,3,636.2892314844207,Central
2022-05-27,Tablet,3,999.1776443272902,Central
2023-09-18,Headphones,3,795.0015854724653,East
2023-02-03,Headphones,8,132.92999566048064,East
2023-04-18,Smartwatch,9,465.5103006059424,Central
2022-09-22,Headphones,4,413.15765847423444,North
2023-08-14,Laptop,1,129.49257417258673,Central
2022-03-30,Smartwatch,7,676.6176071183032,West
2022-11-20,Headphones,2,364.7874875723043,West
2023-01-10,Headphones,2,698.5552134675751,East
2023-07-01,Smartwatch,9,174.22559062545412,North
2022-12-25,Smartwatch,6,327.1552698689575,North
2022-10-06,Tablet,9,226.36548199171534,East
2023-09-04,Smartwatch,5,888.4468860385927,East
2022-10-11,Laptop,5,629.7401307674526,North
2022-09-07,Smartphone,3,810.2400076638149,North
2023-12-03,Laptop,5,221.59962943115903,West
2022-08-29,Headphones,10,906.0740839240589,South
2023-10-19,Headphones,7,724.9598083243919,North
2023-01-30,Headphones,3,246.77592123270793,South
2023-03-15,Laptop,1,957.3767643424347,South
2022-10-05,Smartwatch,4,647.2794886831249,Central
2023-08-24,Headphones,6,738.9867821495731,North
2022-06-03,Smartphone,2,323.70075370982363,West
2023-02-06,Tablet,10,383.71270382157047,South
2023-08-09,Tablet,2,612.8385923514987,South
2022-05-04,Headphones,8,482.6771343456759,East
2022-01-13,Smartphone,3,495.8203083639907,East
2022-06-19,Laptop,10,982.5279024439383,Central
2022-06-23,Tablet,4,427.6133605616674,West
2023-12-08,Laptop,8,435.1388978453437,South
2023-02-18,Smartwatch,3,293.3502663359218,Central
2023-07-23,Laptop,5,682.1485284339492,West
2023-02-20,Tablet,10,452.1585620135651,East
2022-07-15,Headphones,1,804.8474981689777,Central
2022-05-25,Tablet,5,466.1451719072041,Central
2023-09-09,Tablet,10,610.1031333085108,East
2023-02-16,Headphones,4,964.5070254420074,East
2023-01-16,Headphones,2,675.2021701775029,Central
2023-02-15,Laptop,10,640.2091234787993,East
2022-02-02,Smartphone,9,254.51913465900685,West
2023-03-16,Tablet,2,732.913611326089,Central
2023-04-09,Headphones,6,910.3852620969956,North
2023-10-07,Tablet,6,570.6677906587454,West
2023-07-09,Smartwatch,4,221.4134794448156,South
2023-12-20,Smartwatch,1,881.4589289207216,East
2023-10-02,Laptop,3,235.3854331282572,South
2022-10-24,Smartphone,9,317.52029385905126,Central
2023-09-06,Smartwatch,9,542.1975922604759,West
2023-09-09,Smartphone,10,627.4052061851221,North
2023-12-01,Smartwatch,4,254.53766668109395,South
2023-09-02,Smartwatch,7,652.1259078786493,Central
2022-12-04,Headphones,4,859.6507761934347,South
2023-01-18,Headphones,4,397.13045851228486,Central
2022-04-19,Tablet,10,663.6633676529134,North
2022-11-11,Smartphone,6,448.84951988200623,South
2023-11-07,Smartwatch,8,830.0024909794192,North
2023-11-27,Laptop,9,921.5072587256333,East
2023-09-30,Smartphone,7,583.9850918777279,East
2022-05-13,Laptop,2,738.9312920329817,East
2023-12-04,Laptop,8,662.4145106922629,West
2022-12-31,Tablet,2,734.3413782960906,Central
2023-09-15,Smartwatch,1,742.5121413511768,East
2023-12-19,Smartwatch,8,598.8713683386557,North
